facility_id,stroke_measure_name,stroke_score,compared_to_national
050281,Death rate for stroke patients,14,No Different Than the National Rate
050283,Death rate for stroke patients,11.9,No Different Than the National Rate
050289,Death rate for stroke patients,17.1,No Different Than the National Rate
050290,Death rate for stroke patients,10.5,Better Than the National Rate
050291,Death rate for stroke patients,13.4,No Different Than the National Rate
050292,Death rate for stroke patients,11.9,No Different Than the National Rate
050295,Death rate for stroke patients,13.9,No Different Than the National Rate
050298,Death rate for stroke patients,Not Available,Number of Cases Too Small
050300,Death rate for stroke patients,13,No Different Than the National Rate
050301,Death rate for stroke patients,11.9,No Different Than the National Rate
050305,Death rate for stroke patients,11.5,No Different Than the National Rate
050308,Death rate for stroke patients,10.9,No Different Than the National Rate
050309,Death rate for stroke patients,11.1,No Different Than the National Rate
05030F,Death rate for stroke patients,Not Available,Not Available
050313,Death rate for stroke patients,13.9,No Different Than the National Rate
050315,Death rate for stroke patients,17.1,No Different Than the National Rate
05031F,Death rate for stroke patients,Not Available,Not Available
050320,Death rate for stroke patients,15.8,No Different Than the National Rate
050324,Death rate for stroke patients,15.1,No Different Than the National Rate
050327,Death rate for stroke patients,12.7,No Different Than the National Rate
050329,Death rate for stroke patients,12,No Different Than the National Rate
050334,Death rate for stroke patients,13.3,No Different Than the National Rate
050335,Death rate for stroke patients,13.5,No Different Than the National Rate
050336,Death rate for stroke patients,13.9,No Different Than the National Rate
050342,Death rate for stroke patients,10.8,No Different Than the National Rate
050348,Death rate for stroke patients,10.9,No Different Than the National Rate
050350,Death rate for stroke patients,13.1,No Different Than the National Rate
050351,Death rate for stroke patients,13.4,No Different Than the National Rate
050352,Death rate for stroke patients,Not Available,Number of Cases Too Small
050353,Death rate for stroke patients,10.8,No Different Than the National Rate
050357,Death rate for stroke patients,Not Available,Not Available
050360,Death rate for stroke patients,10.6,No Different Than the National Rate
050367,Death rate for stroke patients,13.6,No Different Than the National Rate
050373,Death rate for stroke patients,11.4,No Different Than the National Rate
050376,Death rate for stroke patients,13.9,No Different Than the National Rate
050378,Death rate for stroke patients,Not Available,Number of Cases Too Small
050380,Death rate for stroke patients,11.9,No Different Than the National Rate
050382,Death rate for stroke patients,12.6,No Different Than the National Rate
050390,Death rate for stroke patients,Not Available,Number of Cases Too Small
050393,Death rate for stroke patients,12.4,No Different Than the National Rate
050394,Death rate for stroke patients,13.8,No Different Than the National Rate
050396,Death rate for stroke patients,12.5,No Different Than the National Rate
05039F,Death rate for stroke patients,Not Available,Not Available
050407,Death rate for stroke patients,10.9,No Different Than the National Rate
050411,Death rate for stroke patients,Not Available,Number of Cases Too Small
050414,Death rate for stroke patients,12.1,No Different Than the National Rate
050417,Death rate for stroke patients,13.4,No Different Than the National Rate
05041F,Death rate for stroke patients,Not Available,Not Available
050424,Death rate for stroke patients,14,No Different Than the National Rate
050425,Death rate for stroke patients,15.5,No Different Than the National Rate
050426,Death rate for stroke patients,Not Available,Number of Cases Too Small
050438,Death rate for stroke patients,10.8,No Different Than the National Rate
050441,Death rate for stroke patients,11.3,No Different Than the National Rate
050444,Death rate for stroke patients,12.3,No Different Than the National Rate
050454,Death rate for stroke patients,11,Better Than the National Rate
050455,Death rate for stroke patients,19.3,Worse Than the National Rate
050457,Death rate for stroke patients,12.1,No Different Than the National Rate
050464,Death rate for stroke patients,14,No Different Than the National Rate
050468,Death rate for stroke patients,12.5,No Different Than the National Rate
050471,Death rate for stroke patients,16,No Different Than the National Rate
050481,Death rate for stroke patients,10.6,No Different Than the National Rate
050485,Death rate for stroke patients,11.5,No Different Than the National Rate
050488,Death rate for stroke patients,11,No Different Than the National Rate
