county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
05017,Chicot County,AR,103.8,974.0,1011.012,9997.0,AR,CHICOT,0.0,,-1.0,6.919695707484618,0.0,6.919695707484618,0.5079217516362315,0.49207824836376846,INSUFFICIENT DATA,,
05019,Clark County,AR,105.3,1836.0,1933.308,21378.0,AR,CLARK,0.0,,-1.0,7.5675049187626025,0.0,7.5675049187626025,0.5554724537520053,0.44452754624799473,VALID,1520.0,Moderate Access
05021,Clay County,AR,77.6,1267.0,983.192,14399.0,AR,CLAY,0.0,,-1.0,6.891820999969661,0.0,6.891820999969661,0.5058756833023262,0.49412431669767376,VALID,982.0,Good Access
05023,Cleburne County,AR,87.4,1793.0,1567.082,25048.0,AR,CLEBURNE,0.0,,-1.0,7.357608495461337,0.0,7.357608495461337,0.5400655683206064,0.45993443167939363,VALID,1346.0,Moderate Access
05025,Cleveland County,AR,104.9,363.0,380.787,7491.0,AR,CLEVELAND,0.0,,-1.0,5.944862861471519,0.0,5.944862861471519,0.4363667544758876,0.5636332455241124,INSUFFICIENT DATA,,
05027,Columbia County,AR,113.4,1465.0,1661.31,22527.0,AR,COLUMBIA,0.0,,-1.0,7.4159634802846135,0.0,7.4159634802846135,0.5443489598686024,0.45565104013139757,VALID,1394.0,Moderate Access
05029,Conway County,AR,97.6,1322.0,1290.272,20872.0,AR,CONWAY,0.0,,-1.0,7.163383058042822,0.0,7.163383058042822,0.5258089696844523,0.47419103031554766,VALID,1191.0,Moderate Access
05031,Craighead County,AR,86.3,9334.0,8055.241999999999,112097.0,AR,CRAIGHEAD,2.0,14.9,1.0,8.99420247366916,1.0986122886681096,5.1418295854491936,0.3774222451474985,0.6225777548525016,VALID,132.0,Highest Access
05033,Crawford County,AR,101.1,5067.0,5122.736999999999,60792.0,AR,CRAWFORD,0.0,,-1.0,8.541639334611132,0.0,8.541639334611132,0.6269761845145797,0.3730238154854203,VALID,2096.0,Low Access
05035,Crittenden County,AR,94.5,3764.0,3556.98,47609.0,AR,CRITTENDEN,0.0,,-1.0,8.176948247074513,0.0,8.176948247074513,0.600207010866183,0.399792989133817,VALID,1944.0,Low Access
05037,Cross County,AR,80.8,1236.0,998.688,16681.0,AR,CROSS,0.0,,-1.0,6.907443230300011,0.0,6.907443230300011,0.5070223913266796,0.4929776086733204,VALID,995.0,Moderate Access
05039,Dallas County,AR,113.9,281.0,320.059,6351.0,AR,DALLAS,0.0,,-1.0,5.771624906863804,0.0,5.771624906863804,0.42365068586913457,0.5763493141308654,INSUFFICIENT DATA,,
05041,Desha County,AR,132.6,932.0,1235.832,11041.0,AR,DESHA,0.0,,-1.0,7.120308550719668,0.0,7.120308550719668,0.522647200708574,0.47735279929142604,VALID,1161.0,Moderate Access
05043,Drew County,AR,105.2,1200.0,1262.4,17143.0,AR,DREW,0.0,,-1.0,7.1415617784646,0.0,7.1415617784646,0.5242072370339362,0.47579276296606376,VALID,1178.0,Moderate Access
05045,Faulkner County,AR,115.3,9330.0,10757.49,126001.0,AR,FAULKNER,2.0,14.45,0.3333333333333333,9.283450489295467,0.5108256237659907,7.434593562315706,0.5457164512003562,0.45428354879964383,VALID,1410.0,Moderate Access
05047,Franklin County,AR,110.4,1405.0,1551.12,17220.0,AR,FRANKLIN,0.0,,-1.0,7.347377017341787,0.0,7.347377017341787,0.5393145540407893,0.4606854459592107,VALID,1336.0,Moderate Access
05049,Fulton County,AR,93.5,1372.0,1282.82,12239.0,AR,FULTON,0.0,,-1.0,7.157595287506915,0.0,7.157595287506915,0.5253841338718767,0.47461586612812334,VALID,1187.0,Moderate Access
05051,Garland County,AR,84.8,9372.0,7947.456,100062.0,AR,GARLAND,2.0,13.6,0.3333333333333333,8.98073297494995,0.5108256237659907,7.192164124473765,0.5279215668698678,0.4720784331301322,VALID,1213.0,Moderate Access
05053,Grant County,AR,78.1,1195.0,933.295,18111.0,AR,GRANT,0.0,,-1.0,6.839792234184461,0.0,6.839792234184461,0.5020566509387346,0.49794334906126536,VALID,939.0,Good Access
